date,market_turnover,csi2000_turnover,csi2000_share_pct,csi2000_chg,csi2000_share_diff
2026-07-15,2573262000271.3203,395021000000.0,15.350982525617276,-0.8,
2026-07-16,2407627704765.26,378358000000.0,15.714971183092002,-1.86,
2026-07-17,2657733985720.6104,413202000000.00006,15.547154162908658,-6.18,
2026-07-20,2703977578127.8896,418637000000.0,15.482265954655034,-4.06,
2026-07-21,2960510844409.23,445886000000.0,15.061116929939043,2.44,
2026-07-22,2655628318435.9297,366004000000.0,13.782199770168264,-1.26,-1.6490983810741415
2026-07-23,2198085058465.9897,338295000000.0,15.39044172549405,1.67,0.233993304430669
2026-07-24,1933182272688.6802,303187000000.0,15.683311619567352,-2.76,0.4934355835853026
2026-07-27,2079494156558.69,315390000000.0,15.166669211609237,3.52,-0.08488627232097379
2026-07-28,2027811269959.9,316429000000.0,15.604460074149673,-1.69,0.362336398255124
2026-07-29,2298943222367.0703,342475000000.0,14.897062122629373,0.42,-0.38129519309068804
2026-08-06,2532352766139.88,427493000000.0,16.88125784511598,1.2,1.6375637287678
2026-08-07,2667183513192.5,449500000000.0,16.852983597741595,1.61,1.4728258373294327
2026-08-10,2525942214414.01,442731000000.00006,17.527360581473502,1.15,2.0339085258821523
2026-08-11,2323605818233.55,409064000000.0,17.604707166337636,-0.48,1.9659759303261328
2026-08-13,2553975784441.81,468632000000.0,18.349116810534795,-1.11,2.5793205125015497
2026-08-20,2081709484996.0698,389553000000.0,18.71312989673655,1.56,2.7821260666719585
2026-08-21,1881927410566.4,356203000000.0,18.92756319930503,0.22,2.832904894730323
2026-08-25,1835184040719.83,379613000000.0,20.68528232465999,1.61,4.433240414822489
2026-08-26,1810668415451.47,371740000000.0,20.53053981765683,-0.09,4.0451694649339345
2026-09-01,2035768537664.5898,421101000000.0,20.68511189799024,-0.17,3.99748307202065
2026-09-02,1792887151717.04,396994000000.0,22.142721008391444,-0.64,5.1883857138032035
