date,holder_increase_count,holder_decrease_count,holder_net_count,repurchase_count,repurchase_done_amt,block_trade_total,block_trade_premium_pct
2026-07-15,,,,15,148186329.65,1127210594.93,19.096555328543
2026-07-16,,,,16,610573462.6800001,2741653700.0,11.064077859286
2026-07-17,,,,12,148735919.94,1752672742.0,31.66445901171
2026-07-20,,,,22,139759383.39,1011968184.55,20.937743225022
2026-07-21,,,,49,3007765603.6,2163185580.96,18.990594409274
2026-07-22,,,,27,6301384141.35,1295455119.44,11.163343123961
2026-07-23,,,,33,165268776.24,1811344400.0,1.093083126544
2026-07-24,,,,27,256912740.77,994033504.4,0.971798229863
2026-07-27,,,,11,110508849.93,1862518900.0,0.584208836753
2026-07-28,,,,25,175729280.75000003,1201659600.0,1.001548192184
2026-07-29,,,,23,334900557.76000005,1231888800.0,1.761092397301
2026-07-30,,,,22,1649000619.74,1529241600.0,13.488921567397
2026-07-31,,,,22,193208415.35,2005339603.0,0.331365320371
2026-08-03,,,,16,147272118.05,1324168600.0,0.519948894725
2026-08-04,,,,26,828562998.7,727955100.0,3.231902626961
2026-08-05,,,,24,345280644.05,1378244400.0,31.093215397792
